fter 0 training step(s),loss on training batch is 8.42337.The batch test accuracy = 0 , 0 ，0.
After 100 training step(s),loss on training batch is 8.16241.The batch test accuracy = 0 , 0 ，0.0234375.
After 200 training step(s),loss on training batch is 7.23695.The batch test accuracy = 0.015625 , 0.0546875 ，0.101562.
After 300 training step(s),loss on training batch is 6.24305.The batch test accuracy = 0.0546875 , 0.109375 ，0.164062.
After 400 training step(s),loss on training batch is 5.61806.The batch test accuracy = 0.140625 , 0.273438 ，0.398438.
After 500 training step(s),loss on training batch is 4.88543.The batch test accuracy = 0.148438 , 0.460938 ，0.585938.
After 600 training step(s),loss on training batch is 4.31735.The batch test accuracy = 0.273438 , 0.554688 ，0.65625.
After 700 training step(s),loss on training batch is 3.94119.The batch test accuracy = 0.34375 , 0.617188 ，0.78125.
After 800 training step(s),loss on training batch is 3.78929.The batch test accuracy = 0.390625 , 0.742188 ，0.820312.
After 900 training step(s),loss on training batch is 3.51916.The batch test accuracy = 0.492188 , 0.8125 ，0.867188.
After 1000 training step(s),loss on training batch is 3.24094.The batch test accuracy = 0.585938 , 0.835938 ，0.929688.
After 1100 training step(s),loss on training batch is 2.98453.The batch test accuracy = 0.578125 , 0.859375 ，0.914062.
After 1200 training step(s),loss on training batch is 2.8101.The batch test accuracy = 0.546875 , 0.835938 ，0.914062.
After 1300 training step(s),loss on training batch is 2.89645.The batch test accuracy = 0.601562 , 0.875 ，0.945312.
After 1400 training step(s),loss on training batch is 2.80174.The batch test accuracy = 0.648438 , 0.890625 ，0.945312.
After 1500 training step(s),loss on training batch is 2.7192.The batch test accuracy = 0.6875 , 0.90625 ，0.96875.
After 1600 training step(s),loss on training batch is 2.58848.The batch test accuracy = 0.59375 , 0.84375 ，0.90625.
After 1700 training step(s),loss on training batch is 2.79644.The batch test accuracy = 0.671875 , 0.90625 ，0.953125.
After 1800 training step(s),loss on training batch is 2.8511.The batch test accuracy = 0.679688 , 0.929688 ，0.96875.
After 1900 training step(s),loss on training batch is 2.37201.The batch test accuracy = 0.726562 , 0.875 ，0.914062.
After 2000 training step(s),loss on training batch is 2.36482.The batch test accuracy = 0.78125 , 0.921875 ，0.96875.
After 2100 training step(s),loss on training batch is 2.59732.The batch test accuracy = 0.75 , 0.890625 ，0.90625.
After 2200 training step(s),loss on training batch is 2.44633.The batch test accuracy = 0.789062 , 0.929688 ，0.953125.
After 2300 training step(s),loss on training batch is 2.42338.The batch test accuracy = 0.765625 , 0.914062 ，0.953125.
After 2400 training step(s),loss on training batch is 2.23419.The batch test accuracy = 0.765625 , 0.90625 ，0.9375.
After 2500 training step(s),loss on training batch is 2.48275.The batch test accuracy = 0.828125 , 0.992188 ，1.
After 2600 training step(s),loss on training batch is 2.36587.The batch test accuracy = 0.773438 , 0.945312 ，0.960938.
After 2700 training step(s),loss on training batch is 2.39689.The batch test accuracy = 0.734375 , 0.953125 ，0.976562.
After 2800 training step(s),loss on training batch is 2.31052.The batch test accuracy = 0.773438 , 0.9375 ，0.984375.
After 2900 training step(s),loss on training batch is 2.17048.The batch test accuracy = 0.757812 , 0.945312 ，0.992188.
After 3000 training step(s),loss on training batch is 2.35759.The batch test accuracy = 0.71875 , 0.929688 ，0.960938.
After 3100 training step(s),loss on training batch is 2.34261.The batch test accuracy = 0.765625 , 0.953125 ，0.984375.
After 3200 training step(s),loss on training batch is 2.27052.The batch test accuracy = 0.765625 , 0.953125 ，0.96875.
After 3300 training step(s),loss on training batch is 2.37418.The batch test accuracy = 0.796875 , 0.945312 ，0.992188.
After 3400 training step(s),loss on training batch is 2.31963.The batch test accuracy = 0.75 , 0.953125 ，0.953125.
After 3500 training step(s),loss on training batch is 2.57166.The batch test accuracy = 0.773438 , 0.914062 ，0.9375.
After 3600 training step(s),loss on training batch is 2.18246.The batch test accuracy = 0.84375 , 0.960938 ，0.96875.
After 3700 training step(s),loss on training batch is 2.21086.The batch test accuracy = 0.835938 , 0.984375 ，0.992188.
After 3800 training step(s),loss on training batch is 2.4135.The batch test accuracy = 0.796875 , 0.96875 ，0.976562.
After 3900 training step(s),loss on training batch is 2.10596.The batch test accuracy = 0.820312 , 0.929688 ，0.96875.
After 4000 training step(s),loss on training batch is 2.1889.The batch test accuracy = 0.773438 , 0.953125 ，0.984375.
After 4100 training step(s),loss on training batch is 2.08641.The batch test accuracy = 0.789062 , 0.9375 ，0.96875.
After 4200 training step(s),loss on training batch is 2.40242.The batch test accuracy = 0.796875 , 0.960938 ，0.976562.
After 4300 training step(s),loss on training batch is 2.27055.The batch test accuracy = 0.796875 , 0.90625 ，0.9375.
After 4400 training step(s),loss on training batch is 1.98165.The batch test accuracy = 0.773438 , 0.929688 ，0.96875.
After 4500 training step(s),loss on training batch is 2.04125.The batch test accuracy = 0.820312 , 0.960938 ，0.976562.
After 4600 training step(s),loss on training batch is 2.35094.The batch test accuracy = 0.78125 , 0.90625 ，0.9375.
After 4700 training step(s),loss on training batch is 2.2639.The batch test accuracy = 0.835938 , 0.953125 ，0.984375.
After 4800 training step(s),loss on training batch is 1.98179.The batch test accuracy = 0.84375 , 0.96875 ，0.992188.
After 4900 training step(s),loss on training batch is 1.97729.The batch test accuracy = 0.859375 , 0.984375 ，0.992188.
After 5000 training step(s),loss on training batch is 2.01215.The batch test accuracy = 0.804688 , 0.953125 ，0.96875.
After 5100 training step(s),loss on training batch is 2.42964.The batch test accuracy = 0.8125 , 0.945312 ，0.96875.
After 5200 training step(s),loss on training batch is 2.47686.The batch test accuracy = 0.757812 , 0.945312 ，0.976562.
After 5300 training step(s),loss on training batch is 1.94305.The batch test accuracy = 0.84375 , 0.984375 ，0.984375.
After 5400 training step(s),loss on training batch is 1.94909.The batch test accuracy = 0.804688 , 0.960938 ，0.96875.
After 5500 training step(s),loss on training batch is 2.04271.The batch test accuracy = 0.859375 , 0.992188 ，0.992188.
After 5600 training step(s),loss on training batch is 2.18946.The batch test accuracy = 0.828125 , 0.960938 ，0.976562.
After 5700 training step(s),loss on training batch is 1.94507.The batch test accuracy = 0.804688 , 0.953125 ，0.992188.
After 5800 training step(s),loss on training batch is 2.00028.The batch test accuracy = 0.84375 , 0.960938 ，0.976562.
After 5900 training step(s),loss on training batch is 2.11613.The batch test accuracy = 0.828125 , 0.960938 ，0.976562.
After 6000 training step(s),loss on training batch is 2.00223.The batch test accuracy = 0.835938 , 0.96875 ，0.976562.
After 6100 training step(s),loss on training batch is 2.06155.The batch test accuracy = 0.84375 , 0.9375 ，0.953125.
After 6200 training step(s),loss on training batch is 2.53922.The batch test accuracy = 0.828125 , 0.953125 ，0.984375.
After 6300 training step(s),loss on training batch is 2.12102.The batch test accuracy = 0.851562 , 0.976562 ，0.984375.
After 6400 training step(s),loss on training batch is 2.2065.The batch test accuracy = 0.804688 , 0.9375 ，0.960938.
After 6500 training step(s),loss on training batch is 2.02335.The batch test accuracy = 0.867188 , 0.96875 ，0.984375.
After 6600 training step(s),loss on training batch is 2.11527.The batch test accuracy = 0.773438 , 0.96875 ，0.992188.
